4.68071,50.86499,30.5
4.67962,50.8648499,28.3
4.67846,50.86469,28.4
4.6773,50.86452,26.9
4.67614,50.86436,28.2
4.67498,50.8641999,28.9
4.67498,50.8641999,28.9
4.67398,50.86405,29.9
4.67299,50.86391,30.2
4.67257,50.86383,30.2
4.67235,50.86371,29.9
4.67229,50.86363,29.7
4.67226,50.86348,29.4
4.67238,50.86316,28.6
4.67235,50.86289,28
4.67222,50.86268,27.7
4.67208,50.86257,27.6
4.67178,50.86243,27.5
4.67159,50.86235,27.4
4.67112,50.8621,27.7
4.67101,50.86202,27.8
4.67078,50.86164,28.2
4.67071,50.86157,28.5
4.67051,50.86149,29.2
4.67033,50.86148,29.9
4.67013,50.86152,30.7
4.66989,50.86161,31
4.6695399,50.86194,29.8
4.6694,50.862,29.3
4.66923,50.86204,28.8
4.66913,50.86203,28.7
4.66897,50.862,28.6
4.66828,50.8618499,28.9
4.668,50.86184,28.6
4.66704,50.862,27.4
4.6669,50.862,27.4
4.66673,50.86197,27.5
4.6663,50.86178,27.7
4.66529,50.8612899,26.7
4.6646599,50.86098,26
4.66449,50.86092,26
4.66323,50.86101,26.2
4.66197,50.8611,28.3
4.6607,50.86118,28.8
4.66036,50.86128,28.7
4.65995,50.86143,28.3
4.6599,50.86143,28.4
4.65906,50.86133,31.3
4.659,50.86134,31.4
4.65886,50.86141,31.3
4.65884,50.86139,31.4
4.65813,50.86083,36.5
4.6579499,50.86071,37.7
4.65764,50.86048,40.1
4.65747,50.86037,41.4
4.65694,50.85995,45.4
4.65641,50.85952,46.9
4.65641,50.85952,46.9
4.65591,50.85912,47.8
4.65542,50.85872,48.2
4.65508,50.85841,48.8
4.65487,50.85819,47.9
4.65462,50.85787,46.2
4.65411,50.8571,44.3
4.65359,50.85633,43
4.6530699,50.8555599,42.5
4.65313,50.85555,42.4
4.65283,50.8551,41
4.65247,50.85457,39.5
4.6521,50.85403,39
4.6521,50.85403,39
4.65205,50.85395,39
4.65166,50.85337,38.1
4.65127,50.85278,36.9
4.65088,50.8522,36.9
4.65044,50.85157,35.8
4.65001,50.85094,33.7
4.64958,50.8503,32
4.64914,50.84967,31.3
4.64874,50.84923,30.7
4.64874,50.84923,30.7
4.64874,50.84923,30.7
4.64843,50.8489099,31.2
4.64807,50.84828,32.8
4.64755,50.84762,33.9
